Assignment Type,Hour Price
Arviointipalvelu - Asuinhuoneistot,255.83333333333334
Arviointipalvelu - Tontit,182.70833333333334
Edunvalvontapalvelu - Korvausneuvottelut,170.0
Edunvalvontapalvelu - Maantiet,196.0
Hallintoasia,162.82923076923078
Jatkuva luottopäätös,170.0
Kertaluottopäätös,85.0
Kilpailuoikeus,168.69132867132868
Konsultointia,185.93544871794873
Namin teko,300.0
Perheoikeus,205.10416666666666
Perintöoikeus,168.41228260869565
Rahoitusoikeus,172.72727272727272
Rikosoikeus,230.77898586956525
Sopimusoikeus,183.33333333333334
Työoikeus,175.96774193548387
Velkomusasia,177.64705882352942
Vero-oikeus,170.0
Yritysoikeus,169.86624999999998
